clip_id,language,source_id,speaker_id,path,start_sec,end_sec,duration_sec,asr_text
en_01_000,en,en_01,en_hcverma,data/clips/en/en_01_000.wav,0.00,9.20,9.35,"Find those principles, nature displays varieties of events and phenomena, and based on those we have to understand physics."
en_01_001,en,en_01,en_hcverma,data/clips/en/en_01_001.wav,9.70,22.20,12.80,"All our equations, all our formulae, all our derivations are essentially an attempt to understand these basic principles on which nature displays its events."
en_01_002,en,en_01,en_hcverma,data/clips/en/en_01_002.wav,22.60,37.60,15.30,"So we design some of our own experiments so that those rules, those phenomena, those equations, those concepts are understood in a in a better way. So this particular course is"
en_01_003,en,en_01,en_hcverma,data/clips/en/en_01_003.wav,38.00,50.70,13.00,"Just to show some experiments, simple experiments, self-designed experiments, you can also design and then see how physics is working there and from that."
en_01_004,en,en_01,en_hcverma,data/clips/en/en_01_004.wav,51.20,61.70,10.80,"develop a deeper understanding of physics. So this is about the course. Now, the participants you have registered"
en_01_005,en,en_01,en_hcverma,data/clips/en/en_01_005.wav,62.10,74.00,12.20,"And I do not know how many of you are students, how many of you are teachers, how many of you are very senior teachers, senior than me. So it's a mixed audience and I don't know how do I address."
en_01_006,en,en_01,en_hcverma,data/clips/en/en_01_006.wav,74.50,88.80,14.60,"So I'm coining a word, you are my physics loving friend. Physics loving friend. So I'll call you P L F. So all my PLFs"
en_01_007,en,en_01,en_hcverma,data/clips/en/en_01_007.wav,89.40,103.65,14.55,"Welcome to this course. I have divided this eight week course in four broad modules, although in experiments you cannot really divide things. All these divisions"
en_01_008,en,en_01,en_hcverma,data/clips/en/en_01_008.wav,103.65,117.90,14.55,"Revisions in chapters is artificial. When you are doing something, then many of the concepts go together in one experiment. But still, broadly I have divided it in four parts."
en_01_009,en,en_01,en_hcverma,data/clips/en/en_01_009.wav,118.80,132.90,14.40,"that is optics, that will be our first module. and then mechanics and then electricity magnetism and then oscillations and waves. So roughly two weeks on"
en_01_010,en,en_01,en_hcverma,data/clips/en/en_01_010.wav,133.30,146.90,13.90,"Optics, two weeks on mechanics, two weeks on electricity magnetism, and two weeks on oscillations and waves. So we will start with our first module that is optics, light."
